"","bootstrap_train","bootstrap_test","p_values","p0_values"
"1",31,68,0.250608272506083,0.951338199513382
"2",373,264,0.318734793187348,0.883211678832117
"3",312,89,0.64963503649635,0.0802919708029197
"4",338,294,0.333333333333333,0.878345498783455
"5",388,228,0.450121654501217,0.231143552311436
"6",302,62,0.491484184914842,0.218978102189781
"7",83,333,0.537712895377129,0.124087591240876
"8",7,362,0.547445255474453,0.116788321167883
"9",399,383,0.525547445255474,0.182481751824818
"10",108,111,0.618004866180049,0.0827250608272506
"11",45,256,0.700729927007299,0.0364963503649635
"12",212,21,0.637469586374696,0.097323600973236
"13",298,119,0.481751824817518,0.201946472019465
"14",191,280,0.343065693430657,0.83698296836983
"15",5,19,0.240875912408759,1
"16",351,157,0.386861313868613,0.798053527980535
"17",99,107,0.688564476885645,0.048661800486618
"18",46,27,0.362530413625304,0.832116788321168
"19",43,171,0.67639902676399,0.0535279805352798
"20",278,354,0.557177615571776,0.124087591240876
"21",221,300,0.678832116788321,0.0583941605839416
"22",157,403,0.491484184914842,0.165450121654501
"23",69,109,0.250608272506083,0.978102189781022
"24",246,38,0.630170316301703,0.0924574209245742
"25",155,128,0.321167883211679,0.888077858880779
"26",203,371,0.467153284671533,0.197080291970803
"27",204,317,0.725060827250608,0.024330900243309
"28",363,230,0.316301703163017,0.888077858880779
"29",333,396,0.367396593673966,0.827250608272506
"30",72,64,0.489051094890511,0.170316301703163
"31",312,365,0.411192214111922,0.761557177615572
"32",307,384,0.267639902676399,0.934306569343066
"33",282,269,0.669099756690998,0.0608272506082725
"34",38,23,0.420924574209246,0.231143552311436
"35",290,9,0.279805352798054,0.934306569343066
"36",51,191,0.418491484184915,0.236009732360097
"37",317,22,0.316301703163017,0.905109489051095
"38",176,401,0.48661800486618,0.175182481751825
"39",4,349,0.547445255474453,0.126520681265207
"40",346,7,0.647201946472019,0.0875912408759124
"41",376,249,0.549878345498783,0.121654501216545
"42",204,149,0.571776155717762,0.10705596107056
"43",113,331,0.447688564476886,0.751824817518248
"44",316,318,0.457420924574209,0.211678832116788
"45",306,165,0.330900243309002,0.861313868613139
"46",181,191,0.418491484184915,0.236009732360097
"47",180,409,0.462287104622871,0.214111922141119
"48",202,271,0.727493917274939,0.0121654501216545
"49",323,109,0.250608272506083,0.978102189781022
"50",120,86,0.476885644768856,0.199513381995134
"51",59,60,0.260340632603406,0.963503649635037
"52",17,110,0.581508515815085,0.111922141119221
"53",9,199,0.559610705596107,0.102189781021898
"54",42,187,0.5669099756691,0.10705596107056
"55",310,393,0.596107055961071,0.0997566909975669
"56",243,276,0.265206812652068,0.944038929440389
"57",387,391,0.394160583941606,0.776155717761557
"58",306,378,0.583941605839416,0.10705596107056
"59",58,373,0.311435523114355,0.895377128953771
"60",402,110,0.581508515815085,0.111922141119221
"61",13,128,0.321167883211679,0.888077858880779
"62",262,394,0.715328467153285,0.0291970802919708
"63",12,296,0.311435523114355,0.902676399026764
"64",353,20,0.35036496350365,0.834549878345499
"65",254,10,0.411192214111922,0.776155717761557
"66",398,262,0.304136253041362,0.922141119221411
"67",190,2,0.695863746958638,0.0291970802919708
"68",145,275,0.530413625304136,0.150851581508516
"69",81,58,0.316301703163017,0.888077858880779
"70",236,97,0.493917274939173,0.184914841849148
"71",127,204,0.37712895377129,0.800486618004866
"72",191,297,0.520681265206813,0.170316301703163
"73",223,77,0.360097323600973,0.829683698296837
"74",398,350,0.523114355231144,0.167883211678832
"75",231,268,0.554744525547445,0.10705596107056
"76",369,129,0.661800486618005,0.0754257907542579
"77",83,201,0.343065693430657,0.839416058394161
"78",160,209,0.304136253041363,0.900243309002433
"79",9,378,0.583941605839416,0.10705596107056
"80",389,257,0.654501216545012,0.0827250608272506
"81",80,98,0.326034063260341,0.885644768856448
"82",351,223,0.586374695863747,0.10705596107056
"83",50,328,0.289537712895377,0.909975669099757
"84",400,237,0.744525547445255,0.0121654501216545
"85",178,1,0.535279805352798,0.121654501216545
"86",402,97,0.493917274939173,0.184914841849148
"87",341,117,0.29683698296837,0.907542579075426
"88",284,304,0.598540145985402,0.0997566909975669
"89",158,330,0.508515815085158,0.170316301703163
"90",333,227,0.54014598540146,0.158150851581509
"91",386,352,0.608272506082725,0.0754257907542579
"92",357,76,0.399026763990268,0.798053527980535
"93",221,227,0.54014598540146,0.158150851581509
"94",67,225,0.345498783454988,0.83698296836983
"95",24,103,0.503649635036496,0.201946472019465
"96",135,184,0.54014598540146,0.16301703163017
"97",224,323,0.535279805352798,0.172749391727494
"98",79,49,0.408759124087591,0.751824817518248
"99",353,218,0.418491484184915,0.751824817518248
"100",315,192,0.257907542579075,0.978102189781022
"101",135,206,0.321167883211679,0.883211678832117
"102",325,317,0.725060827250608,0.024330900243309
"103",282,296,0.311435523114355,0.902676399026764
"104",316,303,0.545012165450122,0.114355231143552
"105",60,257,0.654501216545012,0.0827250608272506
"106",326,314,0.396593673965937,0.761557177615572
"107",351,177,0.369829683698297,0.795620437956204
"108",22,137,0.537712895377129,0.131386861313869
"109",43,110,0.581508515815085,0.111922141119221
"110",81,214,0.328467153284672,0.878345498783455
"111",341,362,0.547445255474453,0.116788321167883
"112",192,316,0.384428223844282,0.812652068126521
"113",60,105,0.313868613138686,0.888077858880779
"114",19,210,0.321167883211679,0.878345498783455
"115",160,163,0.250608272506083,0.975669099756691
"116",182,369,0.661800486618005,0.0632603406326034
"117",368,157,0.386861313868613,0.798053527980535
"118",358,17,0.452554744525547,0.214111922141119
"119",357,79,0.491484184914842,0.194647201946472
"120",141,277,0.369829683698297,0.795620437956204
"121",73,250,0.328467153284672,0.880778588807786
"122",317,169,0.255474452554745,0.929440389294404
"123",320,320,0.588807785888078,0.10705596107056
"124",227,336,0.394160583941606,0.78345498783455
"125",252,329,0.462287104622871,0.231143552311436
"126",72,249,0.549878345498783,0.121654501216545
"127",222,166,0.725060827250608,0.0121654501216545
"128",288,380,0.440389294403893,0.209245742092457
"129",363,95,0.647201946472019,0.0778588807785888
"130",93,207,0.588807785888078,0.0948905109489051
"131",13,355,0.737226277372263,0.024330900243309
"132",182,341,0.399026763990268,0.766423357664234
"133",54,377,0.357664233576642,0.827250608272506
"134",90,79,0.491484184914842,0.194647201946472
"135",214,292,0.386861313868613,0.781021897810219
"136",231,342,0.282238442822384,0.902676399026764
"137",317,375,0.425790754257908,0.223844282238443
"138",318,128,0.321167883211679,0.888077858880779
"139",324,269,0.669099756690998,0.0608272506082725
"140",14,234,0.250608272506083,0.978102189781022
"141",249,325,0.51338199513382,0.150851581508516
"142",183,232,0.389294403892944,0.781021897810219
"143",19,44,0.681265206812652,0.0364963503649635
"144",202,126,0.562043795620438,0.13625304136253
"145",76,316,0.384428223844282,0.812652068126521
"146",302,373,0.311435523114355,0.895377128953771
"147",95,281,0.326034063260341,0.880778588807786
"148",208,245,0.250608272506083,0.953771289537713
"149",343,173,0.588807785888078,0.102189781021898
"150",81,315,0.530413625304136,0.158150851581509
"151",7,132,0.656934306569343,0.0705596107055961
"152",31,296,0.311435523114355,0.902676399026764
"153",189,373,0.311435523114355,0.895377128953771
"154",144,164,0.311435523114355,0.888077858880779
"155",325,239,0.523114355231144,0.138686131386861
"156",319,95,0.647201946472019,0.0778588807785888
"157",121,180,0.474452554744526,0.204379562043796
"158",292,101,0.394160583941606,0.761557177615572
"159",141,107,0.688564476885645,0.048661800486618
"160",328,163,0.250608272506083,0.975669099756691
"161",26,322,0.489051094890511,0.184914841849148
"162",313,258,0.576642335766423,0.10705596107056
"163",90,372,0.464720194647202,0.199513381995134
"164",246,346,0.372262773722628,0.78345498783455
"165",87,164,0.311435523114355,0.888077858880779
"166",37,208,0.27007299270073,0.944038929440389
"167",5,373,0.311435523114355,0.895377128953771
"168",116,114,0.695863746958638,0.0340632603406326
"169",364,119,0.481751824817518,0.201946472019465
"170",315,114,0.695863746958638,0.0340632603406326
"171",153,122,0.291970802919708,0.91970802919708
"172",333,219,0.5669099756691,0.10705596107056
"173",366,387,0.360097323600973,0.822384428223844
"174",237,119,0.481751824817518,0.201946472019465
"175",195,311,0.666666666666667,0.0632603406326034
"176",1,78,0.70316301703163,0.0437956204379562
"177",358,139,0.345498783454988,0.839416058394161
"178",25,181,0.506082725060827,0.16301703163017
"179",65,358,0.464720194647202,0.214111922141119
"180",355,366,0.279805352798054,0.934306569343066
"181",327,318,0.457420924574209,0.211678832116788
"182",172,17,0.452554744525547,0.214111922141119
"183",63,243,0.722627737226277,0.024330900243309
"184",139,399,0.442822384428224,0.793187347931874
"185",309,14,0.681265206812652,0.0510948905109489
"186",399,345,0.328467153284672,0.875912408759124
"187",283,321,0.654501216545012,0.0632603406326034
"188",405,299,0.564476885644769,0.114355231143552
"189",290,14,0.681265206812652,0.0510948905109489
"190",84,196,0.525547445255474,0.143552311435523
"191",69,258,0.576642335766423,0.10705596107056
"192",185,383,0.525547445255474,0.182481751824818
"193",83,87,0.654501216545012,0.0583941605839416
"194",185,237,0.744525547445255,0.0121654501216545
"195",173,34,0.416058394160584,0.761557177615572
"196",387,386,0.32360097323601,0.883211678832117
"197",365,158,0.267639902676399,0.939172749391727
"198",376,227,0.54014598540146,0.158150851581509
"199",28,312,0.245742092457421,0.978102189781022
"200",146,380,0.440389294403893,0.209245742092457
"201",306,15,0.389294403892944,0.768856447688564
"202",110,29,0.306569343065693,0.888077858880779
"203",91,20,0.35036496350365,0.834549878345499
"204",119,162,0.690997566909976,0.0340632603406326
"205",282,204,0.37712895377129,0.800486618004866
"206",48,251,0.462287104622871,0.192214111922141
"207",268,326,0.62287104622871,0.0948905109489051
"208",225,293,0.309002433090024,0.902676399026764
